,schoolcode,recorddate,saledate,price,salecode,recorddate_month,recorddate_year,recorddate_day_of_month,saledate_month,saledate_year,saledate_day_of_month,deedbook_id,schooldesc_id,instrtyp_id,saledesc_id,propertyfraction_id,deedpage_id,munidesc_id,propertyzip_id,propertyaddresssuf_id,municode_id,propertycity_id
count,303837.0,303837,303837,303837.0,303837,303837.0,303837.0,303837.0,303837.0,303837.0,303837.0,303837.0,303837.0,303837.0,303837.0,303837.0,303837.0,303837.0,303837.0,303837.0,303837.0,303837.0
unique,-,2325,3002,-,47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
top,-,2012-10-26,2016-04-29,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
freq,-,588,593,-,59600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
mean,28.9906364267683,-,-,171715.48068207625,-,6.692311996234824,2015.9788175896945,15.729726794300891,6.6575071502154115,2015.9478305802124,16.261676491013272,1805.4986686940695,27.141908325845765,20.826058050862798,12.759084640777786,87.09789130356079,589.9873155672285,87.74357303422559,64.19918903885966,25.76334021202158,76.28771347795035,40.78099112353005
std,15.071675448018976,-,-,956161.6549429124,-,3.295372116738108,4.816072179503947,8.99385651160975,3.2789423584623645,2.5196277009488393,8.965442805837244,1039.4125931408757,13.154170543870357,11.81205578565159,8.66249147356973,96.53503266257644,326.1945155404587,49.26050352878066,34.945420404114095,11.69858843326271,49.36427068578923,19.723614864781002
min,1.0,-,-,0.0,-,1.0,212.0,1.0,1.0,2012.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1%,2.0,-,-,0.0,-,1.0,2012.0,1.0,1.0,2012.0,1.0,37.0,2.0,1.0,1.0,77.0,15.0,2.0,1.0,2.0,1.0,5.0
10%,7.0,-,-,1.0,-,2.0,2012.0,3.0,2.0,2012.0,4.0,369.0,8.0,1.0,1.0,77.0,138.0,20.0,14.0,15.0,11.0,19.0
25%,17.0,-,-,500.0,-,4.0,2014.0,8.0,4.0,2014.0,9.0,910.0,15.0,10.0,4.0,77.0,311.0,44.0,32.0,15.0,38.0,35.0
50%,29.0,-,-,76400.0,-,7.0,2016.0,16.0,7.0,2016.0,16.0,1799.0,30.0,29.0,11.0,77.0,594.0,91.0,70.0,17.0,70.0,35.0
75%,47.0,-,-,185000.0,-,9.0,2018.0,23.0,9.0,2018.0,24.0,2700.0,39.0,29.0,23.0,77.0,872.0,127.0,94.0,38.0,116.0,45.0
90%,47.0,-,-,339900.0,-,11.0,2019.0,28.0,11.0,2019.0,29.0,3252.0,41.0,29.0,24.0,77.0,1044.0,151.0,107.0,40.0,156.0,75.0
99%,47.0,-,-,1225000.0,-,12.0,2020.0,31.0,12.0,2020.0,31.0,3582.0,46.0,29.0,27.0,568.0,1132.0,174.0,115.0,43.0,173.0,96.0
max,50.0,-,-,148752900.0,-,12.0,2929.0,31.0,12.0,2020.0,31.0,3617.0,46.0,29.0,28.0,1519.0,1147.0,175.0,117.0,48.0,175.0,97.0
