,carat,cut,color,clarity,diamond_depth,table_value,price,x,y,z
count,53940.0,53940,53940,53940,53940.0,53940.0,53940.0,53940.0,53940.0,53940.0
unique,-,5,7,8,-,-,-,-,-,-
top,-,Ideal,G,SI1,-,-,-,-,-,-
freq,-,21551,11292,13065,-,-,-,-,-,-
mean,0.7979397478679852,-,-,-,61.74940489432624,57.45718390804603,3932.799721913237,5.731157211716609,5.734525954764462,3.5387337782723316
std,0.47401124440538067,-,-,-,1.4326213188337733,2.234490562820938,3989.4397381463023,1.1217607467924422,1.1421346741235396,0.7056988469499964
min,0.2,-,-,-,43.0,43.0,326.0,0.0,0.0,0.0
1%,0.24,-,-,-,57.9,53.0,429.0,4.02,4.04,2.48
10%,0.31,-,-,-,60.0,55.0,646.0,4.36,4.36,2.69
25%,0.4,-,-,-,61.0,56.0,950.0,4.71,4.72,2.91
50%,0.7,-,-,-,61.8,57.0,2401.0,5.7,5.71,3.53
75%,1.04,-,-,-,62.5,59.0,5324.25,6.54,6.54,4.04
90%,1.51,-,-,-,63.3,60.0,9821.0,7.31,7.3,4.52
99%,2.18,-,-,-,65.6,64.0,17378.22,8.36,8.34,5.15
max,5.01,-,-,-,79.0,95.0,18823.0,10.74,58.9,31.8
