,paymenttier,experienceincurrentdomain,leaveornot,age_id,education_id,city_id,gender_id,everbenched_id,joiningyear_id
count,4653.0,4653.0,4653.0,4653.0,4653.0,4653.0,4653.0,4653.0,4653.0
mean,2.6982591876208897,2.905652267354395,0.3438641736514077,10.541156243283902,1.2645604986030519,2.2063185041908446,1.5970341715022567,1.102729421878358,3.7556415215989682
std,0.5614354643364909,1.558240330926856,0.4750474751488104,6.074228586334891,0.5211201528618461,0.8419787726833454,0.49054672141538846,0.3036377810009682,2.206024562459776
min,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1%,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
10%,2.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0
25%,3.0,2.0,0.0,5.0,1.0,1.0,1.0,1.0,2.0
50%,3.0,3.0,0.0,10.0,1.0,2.0,2.0,1.0,4.0
75%,3.0,4.0,1.0,17.0,1.0,3.0,2.0,1.0,6.0
90%,3.0,5.0,1.0,19.0,2.0,3.0,2.0,2.0,7.0
99%,3.0,5.0,1.0,20.0,3.0,3.0,2.0,2.0,7.0
max,3.0,7.0,1.0,20.0,3.0,3.0,2.0,2.0,7.0
