,balance,balance_frequency,purchases,oneoff_purchases,installments_purchases,cash_advance,purchases_frequency,oneoff_purchases_frequency,purchases_installments_frequency,cash_advance_frequency,cash_advance_trx,purchases_trx,credit_limit,payments,minimum_payments,prc_full_payment,tenure
count,8636.0,8636.0,8636.0,8636.0,8636.0,8636.0,8636.0,8636.0,8636.0,8636.0,8636.0,8636.0,8636.0,8636.0,8636.0,8636.0,8636.0
mean,1601.2248927435155,0.895035111394164,1025.4338744789254,604.9014381658176,420.8435328855952,994.17552303717,0.4960000002315887,0.20590874085224642,0.3688203456461325,0.13760420426123204,3.313918480778138,15.033232978230663,4522.091029563802,1784.4780992232515,864.3049429326078,0.15930362482630847,11.53439092172302
std,2095.5713001909066,0.20769687576180676,2167.1079838703627,1684.3078031461978,917.2451824827338,2121.4583028800234,0.40127264042482946,0.30005360655581653,0.39809294421484676,0.20179143060679328,6.912506117326347,25.18046839648743,3659.240379277939,2909.810090445678,2372.5663502582393,0.29627090941379586,1.3109836605473577
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.049513,0.019163,0.0,6.0
1%,2.5229510500000005,0.181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,58.203949900000005,19.6244664,0.0,6.0
10%,29.093764,0.545455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,214.77765,106.11346499999999,0.0,10.0
25%,148.095189,0.909091,43.3675,0.0,0.0,0.0,0.083333,0.0,0.0,0.0,0.0,1.0,1600.0,418.55923725,169.1635455,0.0,12.0
50%,916.855459,1.0,375.405,44.995000000000005,94.785,0.0,0.5,0.083333,0.166667,0.0,0.0,7.0,3000.0,896.675701,312.4522915,0.0,12.0
75%,2105.195853,1.0,1145.98,599.1,484.14750000000004,1132.38549,0.916667,0.333333,0.75,0.25,4.0,18.0,6500.0,1951.1420905,825.49646275,0.166667,12.0
90%,4382.8418065000005,1.0,2591.3599999999997,1627.5349999999999,1169.5,3126.9753,1.0,0.75,1.0,0.416667,10.0,38.0,9500.0,4002.988707,1780.7262970000002,0.7207794999999999,12.0
99%,9369.550878899992,1.0,9127.091999999993,6783.8964999999835,3916.482999999997,9681.634353549995,1.0,1.0,1.0,0.833333,30.0,117.64999999999964,17000.0,13657.620791999998,9037.885662349863,1.0,12.0
max,19043.13856,1.0,49039.57,40761.25,22500.0,47137.21176,1.0,1.0,1.0,1.5,123.0,358.0,30000.0,50721.48336,76406.20752,1.0,12.0
