,customerid,tenure_months,transaction_date,quantity,avg_price,delivery_charges,gst,transaction_date_2,offline_spend,online_spend,transaction_month,customer_location_id,product_description_id,product_category_id,discount_pct_id,coupon_code_id,coupon_status_id,gender_id,product_sku_id
count,37457.0,37457.0,37457,37457.0,37457.0,37457.0,37457.0,37457,37457.0,37457.0,37457.0,37457.0,37457.0,37457.0,37457.0,37457.0,37457.0,37457.0,37457.0
unique,-,-,365,-,-,-,-,365,-,-,-,-,-,-,-,-,-,-,-
top,-,-,2019-07-13 00:00:00,-,-,-,-,2019-07-13 00:00:00,-,-,-,-,-,-,-,-,-,-,-
freq,-,-,239,-,-,-,-,239,-,-,-,-,-,-,-,-,-,-,-
first,-,-,2019-01-01 00:00:00,-,-,-,-,2019-01-01 00:00:00,-,-,-,-,-,-,-,-,-,-,-
last,-,-,2019-12-31 00:00:00,-,-,-,-,2019-12-31 00:00:00,-,-,-,-,-,-,-,-,-,-,-
mean,15349.983981632271,26.167311850922392,-,1.2423846010091573,55.831046800329176,6.1838980697866885,0.13847878901141703,-,2833.1713698374137,1894.922944976989,6.658968951063887,3.023306725044718,184.68817577488855,9.826761353018128,1.9910831086312304,19.18218223563019,1.8111701417625543,1.6216461542568812,439.90888218490534
std,1767.2303742900733,13.481837554438554,-,0.5224659712771167,57.04638144163814,0.2410873235502373,0.044909706209439286,-,930.418750904083,808.7257176558035,3.344575155607782,1.0981647201537053,117.94236666832074,2.8827417653961906,0.8234051831509565,10.10491576560022,0.6764128507324485,0.48498298174423105,341.13848904856997
min,12347.0,2.0,-,1.0,0.4,6.0,0.05,-,500.0,320.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1%,12413.0,2.0,-,1.0,1.4,6.0,0.05,-,500.0,478.27,1.0,1.0,10.0,2.0,1.0,5.0,1.0,1.0,2.0
10%,12782.0,7.0,-,1.0,3.19,6.0,0.1,-,1500.0,869.25,2.0,2.0,17.0,6.0,1.0,8.0,1.0,1.0,33.0
25%,13854.0,15.0,-,1.0,9.51,6.0,0.1,-,2500.0,1252.63,4.0,2.0,90.0,9.0,1.0,10.0,1.0,1.0,81.0
50%,15311.0,27.0,-,1.0,19.99,6.0,0.18,-,3000.0,1846.18,7.0,3.0,165.0,9.0,2.0,20.0,2.0,2.0,409.0
75%,16985.0,37.0,-,1.0,119.0,6.5,0.18,-,3500.0,2424.97,9.0,4.0,292.0,13.0,3.0,27.0,2.0,2.0,713.0
90%,17811.0,44.0,-,2.0,149.0,6.5,0.18,-,4000.0,2928.55,11.0,4.0,361.0,13.0,3.0,34.0,3.0,2.0,944.0
99%,18179.0,50.0,-,3.0,199.0,6.5,0.18,-,5000.0,3897.2,12.0,5.0,368.0,13.0,3.0,38.0,3.0,2.0,1082.0
max,18283.0,50.0,-,3.0,205.3,6.51,0.18,-,5000.0,4556.93,12.0,5.0,378.0,14.0,3.0,39.0,3.0,2.0,1088.0
